,Year,Player,Pos,Team,UUID
0,2023,Jayson Tatum,SF,Team Giannis Team Giannis,4c4a8c9d-61cc-4c00-a9ac-3ac3a72658d7
1,2022,Stephen Curry,PG,Golden State Warriors,2f1008df-4d89-43d1-b8be-b9f05520f109
2,2021,Giannis Antetokounmpo,F,Milwaukee Bucks,f5e976f0-2383-4f34-869e-912b0daebc1d
3,2020,Kawhi Leonard,F,LA Clippers,a8de2eeb-afae-44ff-aa2f-24b11323daf9
4,2019,Kevin Durant,F,Golden State Warriors,3a91d425-1011-4d09-9852-8cd43df314bc
5,2018,LeBron James,F,Cleveland Cavaliers,f15e32f6-36a9-4efb-bce0-043c1bc98f68
6,2017,Anthony Davis,F,New Orleans Pelicans,d8f59c50-268f-4f55-883b-bc65926f3c63
7,2016,Russell Westbrook,G,Oklahoma City Thunder,503e16ad-6e69-4abd-b647-011fefd6883e
8,2015,Russell Westbrook,G,Oklahoma City Thunder,503e16ad-6e69-4abd-b647-011fefd6883e
9,2014,Kyrie Irving,G,Cleveland Cavaliers,6c1bb9b8-8772-428c-bdd6-b1956c33c58a
10,2013,Chris Paul,PG,LA Clippers,61cbf931-8bc1-4186-99b6-41709cb25bf5
11,2012,Kevin Durant,F,Oklahoma City Thunder,3a91d425-1011-4d09-9852-8cd43df314bc
12,2011,Kobe Bryant,G,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
13,2010,Dwyane Wade,G,Miami Heat,3debf7bb-2228-4a7a-82fb-3e730f83f012
14,2009,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
15,2009,Shaquille O'Neal,C,Phoenix Suns,74b99a51-bb65-436f-8bcc-7022af2a490a
16,2008,LeBron James,SF,Cleveland Cavaliers,f15e32f6-36a9-4efb-bce0-043c1bc98f68
17,2007,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
18,2006,LeBron James,SF,Cleveland Cavaliers,f15e32f6-36a9-4efb-bce0-043c1bc98f68
19,2005,Allen Iverson,SG,Philadelphia 76ers,d8c52d19-deaa-48c8-86da-ec699b2a0852
20,2004,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
21,2003,Kevin Garnett,PF,Minnesota Timberwolves,4035d838-5ed7-4507-86ad-0488a9b9c358
22,2002,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
23,2001,Allen Iverson,SG,Philadelphia 76ers,d8c52d19-deaa-48c8-86da-ec699b2a0852
24,2000,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
25,2000,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
